Original_ID,Common_name,SMILES,Value,Unit,Endpoint,Standardized_Value,Standardized_Endpoint,No_symbol_Value,Assay,Description,Link,Source Type,Source,Citation,Publish_Year
ML100,    ,O=C1[C@@H](NC([C@H](C)N(C)C([C@@H](CC2=CC=C(OC)C=C2)NC([C@@H](NCCCCN1)CC(C)C)=O)=O)=O)CC3=CC=CC=C3,5.48 ± 0.18,    ,Minus_Log Peff,-5.48,Log Peff,5.48,PAMPA,"Permeability PAMPA -log(Pe), Tests were performed using a 6 _L membrane (2 % lecithin in dodecane) with 100 _M solution of phosphate buffer (pH = 7.4) and shaking for 17 h (37°C , 150 rpm).",https://doi.org/10.1016/j.bbamem.2023.184196,Journals,10.1016/j.bbamem.2023.184196,"(L'Exact et al., 2023)",2023
ML101,    ,O=C1[C@@H](NC([C@H](C)N(C)C([C@@H](CC2=CC=CC=C2)NC([C@@H](NCCCCN1)CC(C)C)=O)=O)=O)CC3=CC=CC=C3,5.63 ± 0.27,    ,Minus_Log Peff,-5.63,Log Peff,5.63,PAMPA,"Permeability PAMPA -log(Pe), Tests were performed using a 6 _L membrane (2 % lecithin in dodecane) with 100 _M solution of phosphate buffer (pH = 7.4) and shaking for 17 h (37°C , 150 rpm).",https://doi.org/10.1016/j.bbamem.2023.184196,Journals,10.1016/j.bbamem.2023.184196,"(L'Exact et al., 2023)",2023
ML102,    ,O=C1[C@@H](NC([C@H](C)N(C)C([C@@H](CC2=CC=C(C(F)(F)F)C=C2)NC([C@@H](NCCCCN1)CC(C)C)=O)=O)=O)CC3=CC=CC=C3,5.32 ± 0.19,    ,Minus_Log Peff,-5.32,Log Peff,5.32,PAMPA,"Permeability PAMPA -log(Pe), Tests were performed using a 6 _L membrane (2 % lecithin in dodecane) with 100 _M solution of phosphate buffer (pH = 7.4) and shaking for 17 h (37°C , 150 rpm).",https://doi.org/10.1016/j.bbamem.2023.184196,Journals,10.1016/j.bbamem.2023.184196,"(L'Exact et al., 2023)",2023
ML42,    ,O=C(NCCCCN[C@@H](CC(C)C)C(N[C@@H](C)C(N(C)[C@H]1CC2=CC=C(O)C=C2)=O)=O)[C@H](CC3=CC=CC=C3)NC1=O,6.47 ± 0.02,    ,Minus_Log Peff,-6.47,Log Peff,6.47,PAMPA,"Permeability PAMPA -log(Pe), Tests were performed using a 6 _L membrane (2 % lecithin in dodecane) with 100 _M solution of phosphate buffer (pH = 7.4) and shaking for 17 h (37°C , 150 rpm).",https://doi.org/10.1016/j.bbamem.2023.184196,Journals,10.1016/j.bbamem.2023.184196,"(L'Exact et al., 2023)",2023
ML43,    ,O=C(NCCCCN[C@@H](CC(C)C)C(N(C)[C@@H](C)C(N[C@H]1CC2=CC=C(O)C=C2)=O)=O)[C@H](CC3=CC=CC=C3)NC1=O,7.53 ± 0.12,    ,Minus_Log Peff,-7.53,Log Peff,7.53,PAMPA,"Permeability PAMPA -log(Pe), Tests were performed using a 6 _L membrane (2 % lecithin in dodecane) with 100 _M solution of phosphate buffer (pH = 7.4) and shaking for 17 h (37°C , 150 rpm).",https://doi.org/10.1016/j.bbamem.2023.184196,Journals,10.1016/j.bbamem.2023.184196,"(L'Exact et al., 2023)",2023
CHEMBL4176386,Cyclophilin inhibitor 1,CC(C)[C@@H]1OC(=O)C2(/C=C/c3ccc4ccc(nc4c3)[C@@H](C)NC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](C)NC1=O)COCOC2,1.5,10^-6 cm/s,Papp AB,-5.824,Log Papp AB,1.5,Caco-2,Apparent permeability across apical to basolateral side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4176386,Cyclophilin inhibitor 1,CC(C)[C@@H]1OC(=O)C2(/C=C/c3ccc4ccc(nc4c3)[C@@H](C)NC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](C)NC1=O)COCOC2,13,10^-6 cm/s,Papp BA,-4.886,Log Papp BA,13,Caco-2,Apparent permeability across basolateral to apical side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4173859,    ,CO[C@@H]1/C=C/c2cc3cc(ccc3cn2)[C@@H](C)OC(=O)[C@@H]2CCCN(N2)C(=O)[C@H](C)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]1C,37,10^-6 cm/s,Papp BA,-4.432,Log Papp BA,37,Caco-2,Apparent permeability across basolateral to apical side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4173859,    ,CO[C@@H]1/C=C/c2cc3cc(ccc3cn2)[C@@H](C)OC(=O)[C@@H]2CCCN(N2)C(=O)[C@H](C)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]1C,4.4,10^-6 cm/s,Papp AB,-5.357,Log Papp AB,4.4,Caco-2,Apparent permeability across apical to basolateral side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4165935,    ,CC(C)[C@@H]1NC(=O)CC/C=C/c2cc3cc(ccc3cn2)[C@@H](C)OC(=O)[C@@H]2CCCN(N2)C(=O)[C@H](C)NC1=O,0.33,10^-6 cm/s,Papp AB,-6.481,Log Papp AB,0.33,Caco-2,Apparent permeability across apical to basolateral side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4165935,    ,CC(C)[C@@H]1NC(=O)CC/C=C/c2cc3cc(ccc3cn2)[C@@H](C)OC(=O)[C@@H]2CCCN(N2)C(=O)[C@H](C)NC1=O,25,10^-6 cm/s,Papp BA,-4.602,Log Papp BA,25,Caco-2,Apparent permeability across basolateral to apical side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4167017,    ,CC(C)[C@@H]1NC(=O)C/C=C/c2cc3cc(ccc3cn2)[C@@H](C)OC(=O)[C@@H]2CCCN(N2)C(=O)[C@H](C)NC1=O,13,10^-6 cm/s,Papp BA,-4.886,Log Papp BA,13,Caco-2,Apparent permeability across basolateral to apical side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4167017,    ,CC(C)[C@@H]1NC(=O)C/C=C/c2cc3cc(ccc3cn2)[C@@H](C)OC(=O)[C@@H]2CCCN(N2)C(=O)[C@H](C)NC1=O,0.32,10^-6 cm/s,Papp AB,-6.495,Log Papp AB,0.32,Caco-2,Apparent permeability across apical to basolateral side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4163568,    ,CC(C)[C@@H]1NC(=O)C/C=C/c2ccc3ccc(cc3c2)[C@@H](C)OC(=O)[C@@H]2CCCN(N2)C(=O)[C@H](C)NC1=O,6.2,10^-6 cm/s,Papp AB,-5.208,Log Papp AB,6.2,Caco-2,Apparent permeability across apical to basolateral side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4163568,    ,CC(C)[C@@H]1NC(=O)C/C=C/c2ccc3ccc(cc3c2)[C@@H](C)OC(=O)[C@@H]2CCCN(N2)C(=O)[C@H](C)NC1=O,38,10^-6 cm/s,Papp BA,-4.42,Log Papp BA,38,Caco-2,Apparent permeability across basolateral to apical side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4174251,    ,CC(C)[C@@H]1NC(=O)C/C=C/c2ccc3ccc(nc3c2)[C@@H](C)OC(=O)[C@@H]2CCCN(N2)C(=O)[C@H](C)NC1=O,1.2,10^-6 cm/s,Papp AB,-5.921,Log Papp AB,1.2,Caco-2,Apparent permeability across apical to basolateral side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4174251,    ,CC(C)[C@@H]1NC(=O)C/C=C/c2ccc3ccc(nc3c2)[C@@H](C)OC(=O)[C@@H]2CCCN(N2)C(=O)[C@H](C)NC1=O,3.5,10^-6 cm/s,Papp BA,-5.456,Log Papp BA,3.5,Caco-2,Apparent permeability across basolateral to apical side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4168950,    ,CC(C)[C@@H]1NC(=O)C(C)(C)/C=C/c2ccc3ccc(nc3c2)[C@@H](C)OC(=O)[C@@H]2CCCN(N2)C(=O)[C@H](C)NC1=O,2,10^-6 cm/s,Papp AB,-5.699,Log Papp AB,2,Caco-2,Apparent permeability across apical to basolateral side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4168950,    ,CC(C)[C@@H]1NC(=O)C(C)(C)/C=C/c2ccc3ccc(nc3c2)[C@@H](C)OC(=O)[C@@H]2CCCN(N2)C(=O)[C@H](C)NC1=O,21,10^-6 cm/s,Papp BA,-4.678,Log Papp BA,21,Caco-2,Apparent permeability across basolateral to apical side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4161025,    ,CC(C)[C@@H]1NC(=O)C(C)(C)/C=C/c2cc3cc(ccc3cn2)[C@@H](C)OC(=O)[C@@H]2CCCN(N2)C(=O)[C@H](C)NC1=O,34,10^-6 cm/s,Papp BA,-4.469,Log Papp BA,34,Caco-2,Apparent permeability across basolateral to apical side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4161025,    ,CC(C)[C@@H]1NC(=O)C(C)(C)/C=C/c2cc3cc(ccc3cn2)[C@@H](C)OC(=O)[C@@H]2CCCN(N2)C(=O)[C@H](C)NC1=O,2.3,10^-6 cm/s,Papp AB,-5.638,Log Papp AB,2.3,Caco-2,Apparent permeability across apical to basolateral side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4173004,    ,CC(C)[C@@H]1OC(=O)C(C)(C)/C=C/c2ccc3ccc(nc3c2)[C@@H](C)NC(=O)[C@@H]2CCCN(N2)C(=O)[C@H](C)NC1=O,79,    ,ER,79,ER,79,Caco-2,Efflux ratio of apparent permeability in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4173004,    ,CC(C)[C@@H]1OC(=O)C(C)(C)/C=C/c2ccc3ccc(nc3c2)[C@@H](C)NC(=O)[C@@H]2CCCN(N2)C(=O)[C@H](C)NC1=O,47,10^-6 cm/s,Papp BA,-4.328,Log Papp BA,47,Caco-2,Apparent permeability across basolateral to apical side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4173004,    ,CC(C)[C@@H]1OC(=O)C(C)(C)/C=C/c2ccc3ccc(nc3c2)[C@@H](C)NC(=O)[C@@H]2CCCN(N2)C(=O)[C@H](C)NC1=O,17,10^-6 cm/s,Papp AB,-4.77,Log Papp AB,17,Caco-2,Apparent permeability across apical to basolateral side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4165103,    ,CC(C)[C@@H]1OC(=O)C(C)(C)/C=C/c2cc3cc(ccc3cn2)[C@@H](C)NC(=O)[C@@H]2CCCN(N2)C(=O)[C@H](C)NC1=O,0.1,10^-6 cm/s,Papp AB,-7,Log Papp AB,0.1,Caco-2,Apparent permeability across apical to basolateral side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4165103,    ,CC(C)[C@@H]1OC(=O)C(C)(C)/C=C/c2cc3cc(ccc3cn2)[C@@H](C)NC(=O)[C@@H]2CCCN(N2)C(=O)[C@H](C)NC1=O,7.9,10^-6 cm/s,Papp BA,-5.102,Log Papp BA,7.9,Caco-2,Apparent permeability across basolateral to apical side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4161280,    ,CC(C)[C@@H]1OC(=O)C2(/C=C/c3ccc4ccc(nc4c3)[C@@H](C)NC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](C)NC1=O)CCC(O)CC2,7.1,10^-6 cm/s,Papp BA,-5.149,Log Papp BA,7.1,Caco-2,Apparent permeability across basolateral to apical side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4161280,    ,CC(C)[C@@H]1OC(=O)C2(/C=C/c3ccc4ccc(nc4c3)[C@@H](C)NC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](C)NC1=O)CCC(O)CC2,0.9,10^-6 cm/s,Papp BA,-6.046,Log Papp BA,0.9,Caco-2,Apparent permeability across apical to basolateral side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4161280,    ,CC(C)[C@@H]1OC(=O)C2(/C=C/c3ccc4ccc(nc4c3)[C@@H](C)NC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](C)NC1=O)CCC(O)CC2,9.2,10^-6 cm/s,Papp AB,-5.036,Log Papp AB,9.2,Caco-2,Apparent permeability across basolateral to apical side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4161280,    ,CC(C)[C@@H]1OC(=O)C2(/C=C/c3ccc4ccc(nc4c3)[C@@H](C)NC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](C)NC1=O)CCC(O)CC2,0.61,10^-6 cm/s,Papp AB,-6.215,Log Papp AB,0.61,Caco-2,Apparent permeability across apical to basolateral side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4171881,    ,CO[C@H]1CC[C@@]2(/C=C/c3ccc4ccc(nc4c3)[C@@H](C)NC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](C)NC(=O)[C@H](C(C)C)OC2=O)CC1,13,10^-6 cm/s,Papp AB,-4.886,Log Papp AB,13,Caco-2,Apparent permeability across apical to basolateral side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4171881,    ,CO[C@H]1CC[C@@]2(/C=C/c3ccc4ccc(nc4c3)[C@@H](C)NC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](C)NC(=O)[C@H](C(C)C)OC2=O)CC1,33,10^-6 cm/s,Papp BA,-4.481,Log Papp BA,33,Caco-2,Apparent permeability across basolateral to apical side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4164700,    ,CC(C)[C@@H]1OC(=O)C2(/C=C/c3ccc4ccc(nc4c3)[C@@H](C)NC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](C)NC1=O)CCOCC2,3.2,10^-6 cm/s,Papp AB,-5.495,Log Papp AB,3.2,Caco-2,Apparent permeability across apical to basolateral side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4164700,    ,CC(C)[C@@H]1OC(=O)C2(/C=C/c3ccc4ccc(nc4c3)[C@@H](C)NC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](C)NC1=O)CCOCC2,19,10^-6 cm/s,Papp BA,-4.721,Log Papp BA,19,Caco-2,Apparent permeability across basolateral to apical side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4175329,    ,CC(C)[C@@H]1OC(=O)C2(/C=C/c3ccc4ccc(nc4c3)[C@@H](C)NC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](C)NC1=O)CCS(=O)(=O)CC2,12,10^-6 cm/s,Papp BA,-4.921,Log Papp BA,12,Caco-2,Apparent permeability across basolateral to apical side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4175329,    ,CC(C)[C@@H]1OC(=O)C2(/C=C/c3ccc4ccc(nc4c3)[C@@H](C)NC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](C)NC1=O)CCS(=O)(=O)CC2,0.48,10^-6 cm/s,Papp AB,-6.319,Log Papp AB,0.48,Caco-2,Apparent permeability across apical to basolateral side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4159376,    ,CC(C)[C@@H]1OC(=O)C2(/C=C/c3ccc4ccc(nc4c3)[C@@H](C)NC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](C)NC1=O)COCCOC2,10,10^-6 cm/s,Papp BA,-5,Log Papp BA,10,Caco-2,Apparent permeability across basolateral to apical side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4159376,    ,CC(C)[C@@H]1OC(=O)C2(/C=C/c3ccc4ccc(nc4c3)[C@@H](C)NC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](C)NC1=O)COCCOC2,0.72,10^-6 cm/s,Papp AB,-6.143,Log Papp AB,0.72,Caco-2,Apparent permeability across apical to basolateral side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4170010,    ,CC(C)[C@@H]1OC(=O)C(CO)(CO)/C=C/c2ccc3ccc(nc3c2)[C@@H](C)NC(=O)[C@@H]2CCCN(N2)C(=O)[C@H](C)NC1=O,0.08,10^-6 cm/s,Papp AB,-7.097,Log Papp AB,0.08,Caco-2,Apparent permeability across apical to basolateral side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
CHEMBL4170010,    ,CC(C)[C@@H]1OC(=O)C(CO)(CO)/C=C/c2ccc3ccc(nc3c2)[C@@H](C)NC(=O)[C@@H]2CCCN(N2)C(=O)[C@H](C)NC1=O,0.59,10^-6 cm/s,Papp BA,-6.229,Log Papp BA,0.59,Caco-2,Apparent permeability across basolateral to apical side in human Caco2 cells measured at 60 to 120 mins by LC/MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.8b00802,ChEMBL,10.1021/acs.jmedchem.8b00802,"(Mackman et al., 2018)",2018
BRD-K07442049,    ,CO[C@H]1CC[C@@H]2CCOc3c(cccc3C(=O)N(C)C[C@H](C)C(=O)N(C)C[C@@H]1O2)C#N,0.55,    ,ER+Inh.,0.55,ER+,0.55,Caco-2,Efflux_ABBA2point_Inh,https://doi.org/10.1038/nchembio.2203,Journals,10.1038/nchembio.2203,"(Over et al., 2016)",2016
BRD-K07442049,    ,CO[C@H]1CC[C@@H]2CCOc3c(cccc3C(=O)N(C)C[C@H](C)C(=O)N(C)C[C@@H]1O2)C#N,19.93,10^-6 cm/s,Papp AB,-4.7,Log Papp AB,19.93,Caco-2,Papp (A-B),https://doi.org/10.1038/nchembio.2203,Journals,10.1038/nchembio.2203,"(Over et al., 2016)",2016
BRD-K07442049,    ,CO[C@H]1CC[C@@H]2CCOc3c(cccc3C(=O)N(C)C[C@H](C)C(=O)N(C)C[C@@H]1O2)C#N,2.91,    ,ER,2.91,ER,2.91,Caco-2,Efflux Ratio,https://doi.org/10.1038/nchembio.2203,Journals,10.1038/nchembio.2203,"(Over et al., 2016)",2016
BRD-K07442049,    ,CO[C@H]1CC[C@@H]2CCOc3c(cccc3C(=O)N(C)C[C@H](C)C(=O)N(C)C[C@@H]1O2)C#N,25.04,10^-6 cm/s,Papp BA+Inh.,-4.601,Log Papp BA+,25.04,Caco-2,BA_ABBA2point_Inh,https://doi.org/10.1038/nchembio.2203,Journals,10.1038/nchembio.2203,"(Over et al., 2016)",2016
BRD-K07442049,    ,CO[C@H]1CC[C@@H]2CCOc3c(cccc3C(=O)N(C)C[C@H](C)C(=O)N(C)C[C@@H]1O2)C#N,45.86,10^-6 cm/s,Papp AB+Inh.,-4.339,Log Papp AB+,45.86,Caco-2,AB_ABBA2point_Inh,https://doi.org/10.1038/nchembio.2203,Journals,10.1038/nchembio.2203,"(Over et al., 2016)",2016
BRD-K07442049,    ,CO[C@H]1CC[C@@H]2CCOc3c(cccc3C(=O)N(C)C[C@H](C)C(=O)N(C)C[C@@H]1O2)C#N,57.95,10^-6 cm/s,Papp BA,-4.237,Log Papp BA,57.95,Caco-2,Papp (B-A),https://doi.org/10.1038/nchembio.2203,Journals,10.1038/nchembio.2203,"(Over et al., 2016)",2016
BRD-K13079805,    ,CO[C@H]1CC[C@H]2CCOc3c(cccc3C(=O)N(C)C[C@H](C)C(=O)N(C)C[C@@H]1O2)C#N,40.61,10^-6 cm/s,Papp AB,-4.391,Log Papp AB,40.61,Caco-2,Papp (A-B),https://doi.org/10.1038/nchembio.2203,Journals,10.1038/nchembio.2203,"(Over et al., 2016)",2016
BRD-K13079805,    ,CO[C@H]1CC[C@H]2CCOc3c(cccc3C(=O)N(C)C[C@H](C)C(=O)N(C)C[C@@H]1O2)C#N,0.56,    ,ER+Inh.,0.56,ER+,0.56,Caco-2,Efflux_ABBA2point_Inh,https://doi.org/10.1038/nchembio.2203,Journals,10.1038/nchembio.2203,"(Over et al., 2016)",2016
BRD-K13079805,    ,CO[C@H]1CC[C@H]2CCOc3c(cccc3C(=O)N(C)C[C@H](C)C(=O)N(C)C[C@@H]1O2)C#N,29.02,10^-6 cm/s,Papp BA+Inh.,-4.537,Log Papp BA+,29.02,Caco-2,BA_ABBA2point_Inh,https://doi.org/10.1038/nchembio.2203,Journals,10.1038/nchembio.2203,"(Over et al., 2016)",2016
BRD-K13079805,    ,CO[C@H]1CC[C@H]2CCOc3c(cccc3C(=O)N(C)C[C@H](C)C(=O)N(C)C[C@@H]1O2)C#N,1.22,    ,ER,1.22,ER,1.22,Caco-2,Efflux Ratio,https://doi.org/10.1038/nchembio.2203,Journals,10.1038/nchembio.2203,"(Over et al., 2016)",2016
BRD-K13079805,    ,CO[C@H]1CC[C@H]2CCOc3c(cccc3C(=O)N(C)C[C@H](C)C(=O)N(C)C[C@@H]1O2)C#N,49.61,10^-6 cm/s,Papp BA,-4.304,Log Papp BA,49.61,Caco-2,Papp (B-A),https://doi.org/10.1038/nchembio.2203,Journals,10.1038/nchembio.2203,"(Over et al., 2016)",2016
BRD-K13079805,    ,CO[C@H]1CC[C@H]2CCOc3c(cccc3C(=O)N(C)C[C@H](C)C(=O)N(C)C[C@@H]1O2)C#N,51.57,10^-6 cm/s,Papp AB+Inh.,-4.288,Log Papp AB+,51.57,Caco-2,AB_ABBA2point_Inh,https://doi.org/10.1038/nchembio.2203,Journals,10.1038/nchembio.2203,"(Over et al., 2016)",2016
BRD-K45409613,    ,CO[C@@H]1CC[C@H]2CCN(C)C(=O)[C@H](C)[C@@H](CN(C)C(=O)c3cccc(C#N)c3OC[C@H]1O2)OC,9.5,10^-6 cm/s,Papp AB+Inh.,-5.022,Log Papp AB+,9.5,Caco-2,AB_ABBA2point_Inh,https://doi.org/10.1038/nchembio.2203,Journals,10.1038/nchembio.2203,"(Over et al., 2016)",2016
BRD-K45409613,    ,CO[C@@H]1CC[C@H]2CCN(C)C(=O)[C@H](C)[C@@H](CN(C)C(=O)c3cccc(C#N)c3OC[C@H]1O2)OC,37.03,10^-6 cm/s,Papp BA,-4.431,Log Papp BA,37.03,Caco-2,Papp (B-A),https://doi.org/10.1038/nchembio.2203,Journals,10.1038/nchembio.2203,"(Over et al., 2016)",2016
BRD-K45409613,    ,CO[C@@H]1CC[C@H]2CCN(C)C(=O)[C@H](C)[C@@H](CN(C)C(=O)c3cccc(C#N)c3OC[C@H]1O2)OC,0.82,    ,ER+Inh.,0.82,ER+,0.82,Caco-2,Efflux_ABBA2point_Inh,https://doi.org/10.1038/nchembio.2203,Journals,10.1038/nchembio.2203,"(Over et al., 2016)",2016
BRD-K45409613,    ,CO[C@@H]1CC[C@H]2CCN(C)C(=O)[C@H](C)[C@@H](CN(C)C(=O)c3cccc(C#N)c3OC[C@H]1O2)OC,2.99,10^-6 cm/s,Papp AB,-5.524,Log Papp AB,2.99,Caco-2,Papp (A-B),https://doi.org/10.1038/nchembio.2203,Journals,10.1038/nchembio.2203,"(Over et al., 2016)",2016
